GEOID,location,name,estimate,moe,label,concept,geography
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_011,14,18,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_016,8,13,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_018,0,12,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_019,33,32,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_020,20,30,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510102100,Census Tract 1021; St. Louis city; Missouri,B08301_021,214,115,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510102200,Census Tract 1022; St. Louis city; Missouri,B08301_001,2942,296,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510102200,Census Tract 1022; St. Louis city; Missouri,B08301_002,2591,286,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510102200,Census Tract 1022; St. Louis city; Missouri,B08301_003,2459,274,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
