"","GEOID","location","name","estimate","moe","label","concept","geography"
"73","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_010",11,17,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK","block group"
"74","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_011",11,17,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","MEANS OF TRANSPORTATION TO WORK","block group"
"75","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_012",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","MEANS OF TRANSPORTATION TO WORK","block group"
"76","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_013",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","MEANS OF TRANSPORTATION TO WORK","block group"
"77","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_014",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","MEANS OF TRANSPORTATION TO WORK","block group"
"78","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_015",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","MEANS OF TRANSPORTATION TO WORK","block group"
"79","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_016",0,12,"Estimate!!Total:!!Taxicab","MEANS OF TRANSPORTATION TO WORK","block group"
"80","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_017",0,12,"Estimate!!Total:!!Motorcycle","MEANS OF TRANSPORTATION TO WORK","block group"
"81","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_018",0,12,"Estimate!!Total:!!Bicycle","MEANS OF TRANSPORTATION TO WORK","block group"
"82","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_019",0,12,"Estimate!!Total:!!Walked","MEANS OF TRANSPORTATION TO WORK","block group"
"83","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_020",0,12,"Estimate!!Total:!!Other means","MEANS OF TRANSPORTATION TO WORK","block group"
"84","295101012002","Block Group 2; Census Tract 1012; St. Louis city; Missouri","B08301_021",8,12,"Estimate!!Total:!!Worked from home","MEANS OF TRANSPORTATION TO WORK","block group"
"85","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_001",587,146,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK","block group"
"86","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_002",529,145,"Estimate!!Total:!!Car, truck, or van:","MEANS OF TRANSPORTATION TO WORK","block group"
"87","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_003",529,145,"Estimate!!Total:!!Car, truck, or van:!!Drove alone","MEANS OF TRANSPORTATION TO WORK","block group"
"88","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_004",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:","MEANS OF TRANSPORTATION TO WORK","block group"
"89","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_005",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"90","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_006",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"91","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"92","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_008",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"93","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_009",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"94","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_010",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK","block group"
"95","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_011",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","MEANS OF TRANSPORTATION TO WORK","block group"
"96","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_012",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","MEANS OF TRANSPORTATION TO WORK","block group"
"97","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_013",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","MEANS OF TRANSPORTATION TO WORK","block group"
"98","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_014",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","MEANS OF TRANSPORTATION TO WORK","block group"
"99","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_015",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","MEANS OF TRANSPORTATION TO WORK","block group"
"100","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_016",0,12,"Estimate!!Total:!!Taxicab","MEANS OF TRANSPORTATION TO WORK","block group"
"101","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_017",0,12,"Estimate!!Total:!!Motorcycle","MEANS OF TRANSPORTATION TO WORK","block group"
"102","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_018",0,12,"Estimate!!Total:!!Bicycle","MEANS OF TRANSPORTATION TO WORK","block group"
"103","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_019",10,16,"Estimate!!Total:!!Walked","MEANS OF TRANSPORTATION TO WORK","block group"
"104","295101012003","Block Group 3; Census Tract 1012; St. Louis city; Missouri","B08301_020",12,18,"Estimate!!Total:!!Other means","MEANS OF TRANSPORTATION TO WORK","block group"
